Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein BK650_00440 [Pseudomonas rhodesiae],102,102,44%,2e-23,46.49,117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ROM60965.1?report=genbank&log$=prottop&blast_rank=90&RID=HBE2ENA0014"",""ROM60965.1"")"
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Xenorhabdus beddingii],100,100,77%,1e-21,36.27,199,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_086114096.1?report=genbank&log$=prottop&blast_rank=91&RID=HBE2ENA0014"",""WP_086114096.1"")"
17 member(s) 5 organism(s),enterobacteria,IpaJ protein [Salmonella enterica],97.1,97.1,42%,2e-21,46.36,111,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAQ6295809.1?report=genbank&log$=prottop&blast_rank=92&RID=HBE2ENA0014"",""EAQ6295809.1"")"
1 member(s) 1 organism(s),enterobacteria,IpaJ protein [Salmonella bongori serovar 48:i:-],95.9,95.9,43%,5e-21,41.44,111,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ECG8257352.1?report=genbank&log$=prottop&blast_rank=93&RID=HBE2ENA0014"",""ECG8257352.1"")"
1 member(s) 1 organism(s),a-proteobacteria,hypothetical protein [Novosphingobium soli],98.2,98.2,78%,6e-21,32.20,201,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_379487618.1?report=genbank&log$=prottop&blast_rank=94&RID=HBE2ENA0014"",""WP_379487618.1"")"
1 member(s) 1 organism(s),enterobacteria,T3SS-independent effector cysteine protease IpaJ [Salmonella enterica subsp. enterica serovar Weltevreden],92.4,92.4,34%,5e-20,55.06,90,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBW6965413.1?report=genbank&log$=prottop&blast_rank=95&RID=HBE2ENA0014"",""MBW6965413.1"")"
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein [Saprospiraceae bacterium],94.7,94.7,78%,1e-19,32.70,202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEZ4918495.1?report=genbank&log$=prottop&blast_rank=96&RID=HBE2ENA0014"",""MEZ4918495.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Vibrio mangrovi],93.2,93.2,73%,3e-19,34.74,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_143693184.1?report=genbank&log$=prottop&blast_rank=97&RID=HBE2ENA0014"",""WP_143693184.1"")"
1 member(s) 1 organism(s),bacteria,hypothetical protein [Myxococcota bacterium],94.0,94.0,76%,3e-19,33.00,201,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEM9462981.1?report=genbank&log$=prottop&blast_rank=98&RID=HBE2ENA0014"",""MEM9462981.1"")"
1 member(s) 1 organism(s),b-proteobacteria,hypothetical protein [Chitinivorax sp. PXF-14],92.8,92.8,65%,5e-19,38.20,196,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_367790764.1?report=genbank&log$=prottop&blast_rank=99&RID=HBE2ENA0014"",""WP_367790764.1"")"
1 member(s) 1 organism(s),b-proteobacteria,hypothetical protein [Aquabacterium sp.],92.0,92.0,77%,8e-19,34.16,184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_325422347.1?report=genbank&log$=prottop&blast_rank=100&RID=HBE2ENA0014"",""WP_325422347.1"")"



		


